region;city;id;href;region_code;ввым;фыв
Алтайский край;Алейск;2429;/banks/Altayskiy_kray/Aleysk/list/;22;29512;0
Алтайский край;Белокуриха;2530;/banks/Altayskiy_kray/Belokuriha/list/;22;14660;0
Алтайский край;Горняк;2739;/banks/Altayskiy_kray/Gornyak/list/;22;13924;0
Алтайский край;Заринск;623;/banks/Altayskiy_kray/Zarinsk/list/;22;48456;0
Алтайский край;Змеиногорск;2892;/banks/Altayskiy_kray/Zmeinogorsk/list/;22;10955;0
Алтайский край;Камень-на-Оби;2974;/banks/Altayskiy_kray/Kamen~-na-Obi/list/;22;43880;0
Алтайский край;Новоалтайск;3444;/banks/Altayskiy_kray/Novoaltaysk/list/;22;70438;0
Алтайский край;Рубцовск;624;/banks/Altayskiy_kray/Rubtssovsk/list/;22;147008;0
Алтайский край;Славгород;3793;/banks/Altayskiy_kray/Slavgorod/list/;22;32390;0
Алтайский край;Яровое;3348;/banks/Altayskiy_kray/Yarovoe/list/;22;18605;0
Амурская область;Белогорск;719;/banks/Amurskaya_oblast~/Belogorsk/list/;28;68220;0
Амурская область;Благовещенск;718;/banks/Blagovesschensk/list/;28;214397;0
Амурская область;Завитинск;2858;/banks/Amurskaya_oblast~/Zavitinsk/list/;28;11481;0
Амурская область;Зея;2889;/banks/Amurskaya_oblast~/Zeya/list/;28;25042;0
Амурская область;Райчихинск;3704;/banks/Amurskaya_oblast~/Raychihinsk/list/;28;20499;0
Амурская область;Свободный;722;/banks/Amurskaya_oblast~/Svobodnyiy/list/;28;58594;0
Амурская область;Сковородино;723;/banks/Amurskaya_oblast~/Skovorodino/list/;28;9561;0
Амурская область;Тында;720;/banks/Amurskaya_oblast~/Tyinda/list/;28;35574;0
Амурская область;Углегорск;7272;/banks/Amurskaya_oblast~/Uglegorsk/list/;28;10382;0
Амурская область;Шимановск;725;/banks/Amurskaya_oblast~/Shimanovsk/list/;28;19815;0
Архангельская область;Вельск;235;/banks/Arhangel~skaya_oblast~/Vel~sk/list/;29;23885;0
Архангельская область;Каргополь;2997;/banks/Arhangel~skaya_oblast~/Kargopol~/list/;29;10148;0
Архангельская область;Коряжма;236;/banks/Arhangel~skaya_oblast~/Koryazhma/list/;29;39629;0
Архангельская область;Котлас;4080;/banks/Arhangel~skaya_oblast~/Kotlas/list/;29;60562;0
Архангельская область;Мезень;6318;/banks/Arhangel~skaya_oblast~/Mezen~/list/;29;3599;0
Архангельская область;Мирный;237;/banks/Arhangel~skaya_oblast~/Mirnyiy/list/;29;30259;0
Архангельская область;Новодвинск;238;/banks/Arhangel~skaya_oblast~/Novodvinsk/list/;29;40612;0
Архангельская область;Няндома;3499;/banks/Arhangel~skaya_oblast~/Nyandoma/list/;29;22354;0
Архангельская область;Онега;3534;/banks/Arhangel~skaya_oblast~/Onega/list/;29;21359;0
Архангельская область;Сольвычегодск;6296;/banks/Arhangel~skaya_oblast~/Sol~vyichegodsk/list/;29;2460;0
Архангельская область;Шенкурск;4164;/banks/Arhangel~skaya_oblast~/Shenkursk/list/;29;5702;0
Астраханская область;Астрахань;290;/banks/Astrahan~/list/;30;520662;0
Астраханская область;Ахтубинск;2468;/banks/Astrahanskaya_oblast~/Ahtubinsk/list/;30;41898;0
Астраханская область;Знаменск;2896;/banks/Astrahanskaya_oblast~/Znamensk/list/;30;29357;0
Астраханская область;Камызяк;2978;/banks/Astrahanskaya_oblast~/Kamyizyak/list/;30;16291;0
Астраханская область;Нариманов;3385;/banks/Astrahanskaya_oblast~/Narimanov/list/;30;11386;0
Астраханская область;Харабали;4079;/banks/Astrahanskaya_oblast~/Harabali/list/;30;18209;0
Белгородская область;Алексеевка;96;/banks/Belgorodskaya_oblast~/Alekseevka/list/;31;39026;0
